"CID","Km"
4485,0.02
4494,0.12
4500,0.0022
4501,0.03
4516,1
4517,1.7
4518,0.013
4534,0.365
4540,0.184
4546,0.7
4547,0.0076
4555,0.00395
4559,0.203
4561,4.2
4574,0.465
4575,1.16
4593,0.394
4598,0.0093
4599,0.006
4604,0.201
4608,0.087
4628,0.1625
4631,0.02
4635,0.166
4637,0.1515
4640,0.027
4642,0.006
4646,0.0257
4666,0.2
4685,0.04
4688,0.0033
4690,0.025
4691,0.0282
4696,0.0016
4720,0.1225
4730,0.12
4734,0.0417
4737,0.28
4741,0.157
4751,0.6613
4756,0.04
4773,0.036
4798,0.2
4807,0.00165
4832,0.172
4845,0.1145
4846,0.079
4853,0.0065
4858,0.01
4884,0.04
4895,0.00955
4911,0.375
4925,0.313
4927,0.18
5122,0.605
5138,0.0024
5141,0.0388
5147,6.67
5161,2.5
5172,0.0003
5174,0.0004
5175,0.0031
5176,0.015
5178,0.01
5179,0.023
5189,0.002
5191,0.016
5194,0.008
5202,0.0045
5203,0.4
5204,0.0021
5220,0.013
5223,0.0059
5230,0.007
5239,1.8
5247,0.01
5263,0.0093
5264,0.088
5265,0.00195
5266,0.18315
5267,0.0056
5268,0.1843
5269,0.01815
5306,0.0075
5316,0.006
5324,0.4
5332,0.126575
5335,0.174
5345,0.095
5358,0.033
5361,0.0105
5379,0.56
5382,4
5402,2.365
5418,0.0044
5422,0.32
5430,0.0084
5431,0.009
5437,0.063
5439,0.037
5440,0.0108
5452,0.01
5454,0.02815
5455,0.027
5463,0.049
5464,0.018
5465,0.05245
5466,0.014115
5479,0.0024
5488,0.2075
5490,0.00044
5500,0.012
5512,0.17
5551,0.028
5552,0.0051
5557,0.285
5593,0.079
5608,0.0091
5610,0.0048
5618,0.401
5619,0.176
5658,1.2
5662,0.11465
5668,0.025
5682,1.375
5697,1.058
5730,0.066
5744,0.0079
5749,0.0047
5751,0.01165
5752,0.01055
5754,0.007
5755,0.0082
5761,0.0139
5764,0.00665
5766,0.001
5775,0.0078
5778,0.00062
5822,0.6475
5849,0.00416
5903,0.005075
5904,0.081825
5905,0.0567
5906,0.006
5908,0.0309
5945,0.785
6007,0.33
6010,1.3
6019,0.1
6033,0.0765
6071,0.17
6089,0.000415
6090,0.0063
6099,0.0114
6108,3.8
6113,0.00095
6123,0.013
6125,0.165
6139,0.01
6140,0.03
6141,0.3525
6156,0.115
6161,0.04
6167,0.01
6171,0.009
6174,0.177
6176,0.0031
6187,0.33
6188,0.5
6192,0.183
6193,0.086
6197,0.00103
6198,0.0105
6206,0.4
6217,0.159
6218,0.41
6219,1.7
6241,0.715
6244,22.7
6250,0.08029
6313,0.006805
6317,0.29
6319,0.0022
6320,0.0036
6322,0.085
6323,0.016
6325,0.7365
6329,0.064
6333,0.029
6350,1.215
6369,16
6376,1.24
6387,0.009
6390,0.25
6393,0.74
6397,0.1
6399,0.00066
6408,0.91
6413,0.12
6414,0.0093
6427,0.0225
6428,0.0212
6441,0.2
6473,27.3
6485,5.055
6503,0.000085
6506,0.00104
6510,0.0009
6516,0.012
6520,0.005
6526,0.046
6551,0.0864
6552,0.02
6553,0.406
6554,0.05
6561,0.02365
6563,0.0027
6564,0.4065
6565,0.024
6588,0.0086
6589,0.0035
6604,0.058
6606,0.345
6658,0.13
6672,0.085
6680,1.25
6697,0.035
6701,0.053
6717,0.0173
6719,0.29
6730,0.011
6733,6.5
6749,0.05
6752,0.52
6753,398
6757,0.106
6789,0.02
6790,0.047
6892,0.097
7054,0.89
7090,0.415
7098,0.1359
7108,0.121
7111,0.0235
7213,0.605
7216,0.081
7272,39.1
7282,0.0066
7292,0.000002
7301,7.5165
7329,0.21
7480,0.1785
