"smiles","cid","compound name","dG0","dH0","charge","hydrogens","Mg","use for","ref","remark"
,178,"Thymine",293.25,,0,6,0,"test","Alberty (2003) beta","Cytidine0=0"
"CC(C)[C@@H](C(=O)[O-])[NH3+]",183,"L-Valine",-358.65,-611.99,0,11,0,"train","Alberty (2003)",
"C(C(=O)CO)O",184,"Glycerone",-451,,0,6,0,"train","Alberty (2003) beta",
"C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O",185,"Cellobiose",-1585.94,,0,22,0,"test","Alberty (2003) beta",
"C[C@@H](C(=O)[O-])O",186,"Lactate",-516.72,-686.64,-1,5,0,"train","Alberty (2003)",
"C[C@H]([C@@H](C(=O)[O-])[NH3+])O",188,"L-Threonine",-528.89,,0,9,0,"train","Alberty (2003) beta",
"C([C@H](C(=O)[O-])O)OP(=O)([O-])[O-]",197,"3-Phospho-D-glycerate",-1502.54,,-3,4,0,"train","Alberty (2003)",
"C([C@H](C(=O)[O-])O)OP(=O)([O-])O",197,"3-Phospho-D-glycerate",-1545.52,,-2,5,0,"train","Alberty (2003)",
"C(C1C(C(C(C(=O)O1)O)O)O)O",198,"D-Glucono-1,5-lactone",-903.5,,0,10,0,"train","Alberty (2003) beta",
"C(C(C(C(=O)CO)O)O)OP(=O)([O-])[O-]",199,"D-Ribulose-5P",-1595.32,,-2,9,0,"train","Alberty (2003) beta",
"C(C(C(C(=O)CO)O)O)OP(=O)([O-])O",199,"D-Ribulose-5P",-1633.5,,-1,10,0,"train","Alberty (2003) beta",
"CC(=O)C",207,"Acetone",-159.7,-221.71,0,6,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O",208,"Maltose",-1574.69,-2238.06,0,22,0,"train","Alberty (2003)",
"C(=O)(C(=O)[O-])[O-]",209,"Oxalate",-673.9,-825.1,-2,0,0,"train","Alberty (2003)",
"C(=O)(C(=O)[O-])O",209,"Oxalate",-698.33,,-1,1,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)[nH+]cnc23)O1)O)O)O",212,"Adenosine",-214.28,-637.7,1,14,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)O",212,"Adenosine",-194.5,-612.3,0,13,0,"train","Alberty (2003)",
,214,"Thymidine",-157.59,,-1,13,0,"test","Alberty (2003) beta","Cytidine0=0"
,214,"Thymidine",-214.65,,0,14,0,"test","Alberty (2003) beta","Cytidine0=0"
"OC[C@@H]1[C@@H]([C@H](C(O1)O)O)O",181,"D-Xylose",-750.49,-1045.94,0,10,0,"train","Alberty (2003)","five-membered C4O ring form (xylofuranose)"
"C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O",181,"D-Xylose",-750.49,-1045.94,0,10,0,"skip","Alberty (2003)","six-membered C5O ring form (xylopyranose)"
"C([C@@H]1[C@H]([C@@H]([C@@H](O1)O)O)O)O",216,"D-Arabinose",-742.23,-1043.79,0,10,0,"train","Alberty (2003)","five-membered C4O ring form (arabinofuranose)"
"C1[C@H]([C@H]([C@@H](C(O1)O)O)O)O",216,"D-Arabinose",-742.23,-1043.79,0,10,0,"skip","Alberty (2003)","six-membered C5O ring form (arabinopyranose)"
"C[NH3+]",218,"Methylamine",-39.86,-124.93,1,6,0,"train","Alberty (2003)",
,224,"Adenosine-5P-Sulfate",-1541.98,,-2,12,0,"test","Alberty (2003) beta",
"CC(=O)OP(=O)([O-])[O-]",227,"Acetyl-phosphate",-1219.39,,-2,3,0,"train","Alberty (2003)",
"CC(=O)OP(=O)([O-])O",227,"Acetyl-phosphate",-1268.08,,-1,4,0,"train","Alberty (2003)",
"CC(=O)OP(=O)(O)O",227,"Acetyl-phosphate",-1298.26,,0,5,0,"train","Alberty (2003)",
"CC(C)CC(=O)C(=O)[O-]",233,"Oxoisocaproate",-445.14,,-1,9,0,"train","Alberty (2003) beta",
"C([C@H](C(=O)OP(=O)([O-])[O-])O)OP(=O)([O-])[O-]",236,"1,3-bisphosphoglycerate",-2356.14,,-4,4,0,"train","Alberty (2003)",
"C([C@H](C(=O)OP(=O)([O-])[O-])O)OP(=O)([O-])O",236,"1,3-bisphosphoglycerate",-2401.58,,-3,5,0,"train","Alberty (2003)",
"[C-]#[OH2+]",237,"CO(aq)",-119.9,-120.96,0,0,0,"test","Alberty (2003)",
"[C-]#[OH2+]",237,"CO(g)",-137.17,-110.53,0,0,0,"skip","Alberty (2003)",
,242,"Guanine",560.41,,-1,4,0,"test","Alberty (2003) beta","Guanosine0=0"
,242,"Guanine",507.9,,0,5,0,"test","Alberty (2003) beta","Guanosine0=0"
"C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]([C@H]1O)O)O)O)O)O)O",243,"Lactose",-1567.33,-2233.08,0,22,0,"train","Alberty (2003)",
"N(=O)(=O)[O-]",244,"Nitrate",-108.74,-205,-1,0,0,"test","Alberty (2003) beta",
"N(=O)(=O)O",244,"Nitrate",-111.25,-207.36,0,1,0,"test","Alberty (2003) beta",
"CCCC(=O)[O-]",246,"Butyrate",-352.63,,-1,7,0,"train","Alberty (2003)",
"C(C1C(C(C(O1)(CO)O)O)O)O",247,"L-Sorbose",-911.95,-1263.3,0,12,0,"train","Alberty (2003)",
"CCCCCCCCCCCCCCCC(=O)[O-]",249,"Palmitate",-259.4,,-1,31,0,"train","Alberty (2003)",
"C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O",252,"Isomaltose",-1587.71,-2244.48,0,22,0,"train","Alberty (2003) beta",
"C([C@H](C(=O)[O-])O)O",258,"D-Glycerate",-661.01,,-1,5,0,"train","Alberty (2003) beta",
"c1nc2c([nH]1)nc[nH]c2=O",262,"Hypoxanthine",89.5,,0,4,0,"train","Alberty (2003)",
,262,"Hypoxanthine",98.75,,0,4,0,"skip","Alberty (2003) beta","duplicate entry"
