"cid","log10(Km)"
829,0.161505756565909
831,0.399673721481038
835,-0.515700160653214
836,-1.04696554274964
841,-2.00877392430751
842,-1.33488826292495
843,-0.397668659408663
845,-1.30102999566398
846,-0.397940008672038
847,-0.496209316942819
852,-0.154901959985743
853,-2.92081875395238
854,-1.71331903064507
857,-0.958607314841775
858,0.226213120724107
859,-4.16115090926274
860,-1.92081875395238
861,0.515211304327802
862,-1
864,0.582120204019296
868,-3.05551732784983
876,-1.64301859900687
877,-1.65757731917779
879,-0.481486060122113
880,0.0293837776852097
881,-2.82390874094432
882,-1.9100948885606
885,-0.513215428600958
886,-2.76955107862173
894,-1.63827216398241
898,-0.0969100130080564
899,-2.13371266091581
900,0.104828403653655
903,-2.01547268665621
905,-0.1249387366083
906,-0.772756218496937
909,-1.77923834602486
916,1.15381486434453
918,-1.77989191195995
919,1.33745926129066
920,-0.886056647693163
921,-3
927,-1.15490195998574
931,-1.76955107862173
933,-1.90308998699194
935,-0.301029995663981
940,1.01283722470517
942,-2.74472749489669
944,-1.10374943753836
950,0.187520720836463
951,-2.53017798402184
954,-0.180456064458131
956,0.146128035678238
957,0.8750612633917
958,-2.39794000867204
961,-2.72124639904717
966,-1.52287874528034
971,-2.22914798835786
974,-1.75696195131371
977,0.7481880270062
978,-1.46155194828978
979,0.146128035678238
986,-1.0204516252959
988,-1.21467016498923
989,-1.25963731050576
990,0.301029995663981
992,-1.26962153141236
993,-0.255707016877324
996,-2.39794000867204
997,-1.43179827593301
999,-2.53760200210104
1001,-1.26760624017703
1003,-2.01099538430146
1005,2.00028415275956
1008,0.763427993562937
1010,-0.211124884224583
1012,1.42813479402879
1013,1.30102999566398
1019,1.70757017609794
1020,-0.0969100130080564
1024,-1.44977164694491
1026,0.414973347970818
1029,-1.95860731484178
1031,-0.537602002101044
1033,-1.74472749489669
1035,1.65321251377534
1036,-0.362510270487489
1037,-1.63544900464603
1040,-0.96657624451305
1041,-2.30102999566398
1043,0.505149978319906
1044,0.0969100130080564
1045,1.14612803567824
1046,-1.25963731050576
1047,0.763427993562937
1050,-1.32330639037513
1051,-3
1054,-1.1249387366083
1060,0.113943352306837
1061,-0.214314331719099
1062,-0.0457574905606751
1063,-2.79588001734407
1064,-0.361510743045363
1066,-1.24412514432751
1068,-0.180456064458131
1073,0.8750612633917
1077,0.724685388237359
1078,-5.79588001734408
1079,-2.73282827159699
1080,-1.88605664769316
1081,-2.95860731484177
1083,1
1089,-0.148741651280925
1091,-1.80548565811753
1092,-2.69897000433602
1094,-0.422221063304776
1096,0.484299839346786
1097,-0.0186344909214556
1099,0.301029995663981
1100,-0.301029995663981
1101,-1.27124052483213
1103,-2.29670862188134
1104,-0.522878745280338
1107,-1.92081875395238
1109,0.698970004336019
1112,-0.339490258110412
1113,0.982271233039568
1115,-0.769551078621726
1118,0.324282455297693
1120,-1.79588001734408
1126,-3
1131,-0.522878745280338
1134,-1.11069829749369
1137,-1.45222529461218
1139,-4.04575749056068
1141,-3.60205999132796
1144,-1.15552282425432
1146,-0.397940008672038
1147,-2.20760831050175
1158,1.53781909507327
1161,-0.484457299637878
1163,-1.47301493144
1164,0.0569048513364726
1172,-1.25570701687732
1175,-0.371611069949688
1176,-2.24795155218056
1177,-0.886056647693163
1179,-1.32790214206428
1182,-1.30980391997149
1183,1.51851393987789
1185,-0.929962133392245
1186,-0.703773712738839
1187,0.342422680822206
1188,-0.920818753952375
1189,-1.47044132697884
1190,-1.09285746899686
1194,-1.42021640338319
1197,0.0145205387579237
1198,-2.56863623584101
1203,-2.62893213772826
1204,-0.853871964321762
1215,-0.844663962534938
1217,-0.337242168318426
1220,-1.94309514866353
1222,-1.49485002168009
1225,0.851258348719075
1226,-1.36653154442041
1227,-2.30980391997149
1233,-0.647817481888638
1234,0.184265443062108
1235,0.322219294733919
1236,-1.04575749056068
1242,-2.431798275933
1243,-4.09691001300806
1244,-1.38195190328791
1245,-2.79588001734407
1247,-3.07058107428571
1255,1.17609125905568
1260,-1.90308998699194
1261,-2.45593195564972
1269,-1.95860731484178
1272,-2.69897000433602
1273,-3.14874165128092
1277,-1.39254497678533
1278,-0.314258261397736
1281,-0.257667717642852
1282,-0.602059991327962
1284,-1.91542372206567
1286,-0.756961951313705
1288,-3.82390874094432
1290,-1.27880789115628
1299,-2.39794000867204
1300,-3.09151498112135
1302,-3.66756154008439
1312,-0.493494967595128
1346,-0.560667306169737
1353,1.51719589794997
1367,-0.989276134608227
1368,0.402390361661262
1384,0.0791812460476248
1387,-0.113509274827518
1405,-0.349692476868063
1408,-1.31875876262441
1412,0.204119982655925
1416,-0.920818753952375
1417,-0.221848749616356
1419,0.0374264979406237
1420,-0.638272163982407
1424,0.0433622780211295
1438,-1.60205999132796
1455,-1.65757731917779
1460,-2
1467,-2.74472749489669
1468,-2.26360349772336
1474,-0.958607314841775
1477,-1.69897000433602
1479,-1.76955107862173
1485,-0.798602875679548
1486,-0.585026652029182
1487,-0.00877392430750515
1488,1.65991620006985
1494,-1.86327943284359
1499,-1
1500,-1.31202537996544
1507,1.25527250510331
1512,1.09691001300806
1514,-2.09691001300806
1516,-0.261615876487844
1526,-1.72124639904717
1528,-1.60205999132796
1533,0.531478917042255
1537,0.204119982655925
1546,-0.1249387366083
1548,-1.85387196432176
1551,0.763427993562937
1563,0.57978359661681
1566,-2.431798275933
1569,1.03342375548695
1575,-1.69897000433602
1586,-0.187086643357144
1590,-1.75696195131371
1592,-1.95860731484178
1595,-1.91901295308911
1606,-0.82361930775673
1607,-1.54363396687096
1613,1.0733517023869
1616,0.681241237375587
1617,-1.15027355580367
1626,-3.15490195998574
1635,-2.83863199776503
1636,-2.74472749489669
1637,-2.69897000433602
1638,-0.715247894369738
1639,-2.93554201077308
1640,-2.82030461667549
1641,-3.24603413413484
1642,-3.63827216398241
1643,-3.85387196432176
1644,-2.95860731484177
1645,-2.88605664769316
1646,-2.86327943284359
1647,-2.85387196432176
1648,-3.53017798402184
1649,-2.65757731917779
1650,-3.60205999132796
1651,-4.15490195998574
1652,-3.46218090492673
1653,-3.72124639904717
1659,0.477121254719662
1678,-0.507938395487401
1680,0.602059991327962
1697,2.38021124171161
1709,-0.931814138253838
1711,2.57634135020579
1714,-1.04575749056068
1717,-2.09691001300806
1720,-0.221848749616356
1721,0.146128035678238
1724,-1.45998353025468
1726,0.959041392321094
1732,-0.638272163982407
1746,1
1747,-0.301029995663981
1751,-1.77598518862714
1755,1.04139268515823
1761,-1.39794000867204
1762,-0.361086639487958
1765,-1.52287874528034
1768,-0.337242168318426
1775,-1.94309514866353
1779,-1.43533393574791
1792,-2.55284196865778
1794,-1.54363396687096
1795,-2.78251605578609
1801,-1
1802,1.41995574848976
1807,1.51851393987789
1821,-0.494850021680094
