CID,name,nH,nMg,nC,nN,nO,nS,nP,ne-
1099,L-Fuculose 1-phosphate,11,0,6,0,8,0,1,128
1100,L-Histidinol phosphate,11,0,6,3,4,0,1,116
1101,L-Ribulose 5-phosphate,9,0,5,0,8,0,1,120
1103,Orotidine 5'-phosphate,10,0,10,2,11,0,1,190
1104,Trimethylamine N-oxide,9,0,3,1,1,0,0,42
1107,(R)-5-Phosphomevalonate,10,0,6,0,7,0,1,120
1112,D-Arabinose 5-phosphate,9,0,5,0,8,0,1,120
1113,D-Galactose 6-phosphate,11,0,6,0,9,0,1,136
1127,4-Hydroxy-2-oxoglutarate,4,0,5,0,6,0,0,84
1131,L-Rhamnulose 1-phosphate,11,0,6,0,8,0,1,128
1142,"(3S)-3,6-Diaminohexanoate",15,0,6,2,2,0,0,80
1143,(R)-5-Diphosphomevalonate,11,0,6,0,10,0,2,160
1144,(S)-3-Hydroxybutanoyl-CoA,38,0,25,7,18,1,3,446
1146,2-Hydroxy-3-oxopropanoate,3,0,3,0,4,0,0,54
1157,Hydroxyproline,9,0,5,1,3,0,0,70
1172,beta-D-Glucose 6-phosphate,11,0,6,0,9,0,1,136
1175,1-O-Sinapoyl-beta-D-glucose,22,0,17,0,10,0,0,204
1179,3-(4-Hydroxyphenyl)pyruvate,7,0,9,0,4,0,0,94
1185,Nicotinate D-ribonucleotide,12,0,11,1,9,0,1,174
1186,"(3S,5S)-3,5-Diaminohexanoate",15,0,6,2,2,0,0,80
1188,3-Hydroxy-2-methylpropanoate,7,0,4,0,3,0,0,56
1213,(R)-Methylmalonyl-CoA,35,0,25,7,19,1,3,452
1217,"5,6,7,8-Tetrahydromethanopterin",42,0,30,6,16,0,1,410
1235,alpha-D-Galactosyl-(1->3)-1D-myo-inositol,22,0,12,0,11,0,0,182
1236,"D-Glucono-1,5-lactone 6-phosphate",9,0,6,0,9,0,1,134
1244,"3,5-Diiodo-4-hydroxyphenylpyruvate",5,0,9,0,4,0,0,198
1267,3-(Imidazol-4-yl)-2-oxopropyl phosphate,7,0,6,2,5,0,1,114
1286,2-Dehydro-3-deoxy-D-galactonate 6-phosphate,8,0,6,0,9,0,1,134
1326,Hydrogen cyanide,1,0,1,1,0,0,0,14
1342,NH4+,4,0,0,1,0,0,0,10
1352,FADH2,35,0,27,9,15,0,2,410
1384,Maleic acid,2,0,4,0,4,0,0,60
1412,Butanal,8,0,4,0,1,0,0,40
1417,Cyanate,0,0,1,1,1,0,0,22
1438,Methane,4,0,1,0,0,0,0,10
1507,L-Iditol,14,0,6,0,6,0,0,98
1545,1-Octanal,16,0,8,0,1,0,0,72
1563,Carbamate,2,0,1,1,2,0,0,32
1570,D-Leucine,13,0,6,1,2,0,0,72
1589,Imidazole,4,0,3,2,0,0,0,36
1595,Linoleate,31,0,18,0,2,0,0,156
1613,Stachyose,42,0,24,0,21,0,0,354
1620,Threonate,7,0,4,0,5,0,0,72
1697,Galactitol,14,0,6,0,6,0,0,98
1721,L-Fuculose,12,0,6,0,5,0,0,88
1732,Mesaconate,4,0,5,0,4,0,0,68
1755,Thiocyanate,0,0,1,1,0,1,0,30
1762,Xanthosine,12,0,10,4,6,0,0,148
1796,D-Erythrose,8,0,4,0,4,0,0,64
1845,Propan-2-ol,8,0,3,0,1,0,0,34
1847,Reduced FMN,20,0,17,4,9,0,1,240
1904,D-Arabitol,12,0,5,0,5,0,0,82
1959,Taurocyamine,9,0,3,3,3,1,0,88
1996,Acetylcholine,16,0,7,1,2,0,0,80
2022,D-Erythrulose,8,0,4,0,4,0,0,64
2037,Glycylglycine,8,0,4,2,3,0,0,70
2043,Indolelactate,10,0,11,1,3,0,0,108
2045,L-Erythrulose,8,0,4,0,4,0,0,64
2048,Laminaribiose,22,0,12,0,11,0,0,182
2110,11-cis-Retinal,28,0,20,0,1,0,0,156
2115,2-Methylserine,9,0,4,1,3,0,0,64
2147,Dihydrolipoate,15,0,8,0,2,2,0,112
2226,2-Methylmaleate,4,0,5,0,4,0,0,68
2237,5-Oxo-D-proline,6,0,5,1,3,0,0,68
2271,Dichloromethane,2,0,1,0,0,0,0,42
2280,GDP-L-galactose,23,0,16,5,16,0,2,314
2295,Methylitaconate,6,0,6,0,4,0,0,76
2305,Phosphocreatine,8,0,4,3,5,0,1,110
2357,2-Chlorobenzoate,4,0,7,0,2,0,0,80
2359,2-Fluorobenzoate,4,0,7,0,2,0,0,72
2364,3-Fluorobenzoate,4,0,7,0,2,0,0,72
2370,4-Chlorobenzoate,4,0,7,0,2,0,0,80
2371,4-Fluorobenzoate,4,0,7,0,2,0,0,72
2405,Formyl phosphate,1,0,1,0,5,0,1,64
2480,"cis,cis-Muconate",4,0,6,0,4,0,0,74
2557,Methylmalonyl-CoA,35,0,25,7,19,1,3,452
2560,N-Acetylimidazole,6,0,5,2,1,0,0,58
2571,O-Acetylcarnitine,17,0,9,1,4,0,0,110
2588,Retinyl palmitate,60,0,36,0,2,0,0,292
2595,Thien-2-ylacetate,5,0,6,0,2,1,0,74
2612,(R)-2-Methylmalate,6,0,5,0,5,0,0,78
2614,(S)-2-Methylmalate,6,0,5,0,5,0,0,78
2636,3-Dehydrocarnitine,13,0,7,1,3,0,0,86
2637,3-Dehydroshikimate,7,0,7,0,5,0,0,90
2642,3-Ureidopropionate,7,0,4,2,3,0,0,70
2652,5-Dehydroshikimate,7,0,7,0,5,0,0,90
2666,Coniferyl aldehyde,10,0,10,0,3,0,0,94
2712,N-Acetylmethionine,12,0,7,1,3,1,0,102
2718,N-Formiminoglycine,6,0,3,2,2,0,0,54
2763,2-Hydroxy-3-phenylpropenoate,7,0,9,0,3,0,0,86
2780,"2,5-Didehydro-D-gluconate",7,0,6,0,7,0,0,100
2782,2-Deoxy-D-gluconate,11,0,6,0,6,0,0,96
2798,3-Phosphonopyruvate,3,0,3,0,6,0,1,86
2930,2-Methyleneglutarate,6,0,6,0,4,0,0,76
2953,"7,8-Dihydrobiopterin",13,0,9,5,3,0,0,126
2954,6-Aminopenicillanate,12,0,8,2,3,1,0,114
2990,L-Palmitoylcarnitine,45,0,23,1,4,0,0,222
3017,O-Propanoylcarnitine,19,0,10,1,4,0,0,118
3044,"(R,R)-Butane-2,3-diol",10,0,4,0,2,0,0,50
3059,2-Hydroxymethylserine,9,0,4,1,4,0,0,72
3064,3-Dehydro-L-threonate,5,0,4,0,5,0,0,70
3067,3-Hydroxybenzaldehyde,6,0,7,0,2,0,0,64
3082,4-Phospho-L-aspartate,6,0,4,1,7,0,1,110
3149,N-Phosphotaurocyamine,8,0,3,3,6,1,1,128
3150,Nicotinamide-beta-riboside,15,0,11,2,5,0,0,134
3166,Phosphoguanidinoacetate,6,0,3,3,5,0,1,102
3167,Phosphonoacetaldehyde,4,0,2,0,4,0,1,64
3196,(S)-2-Hydroxyglutarate,6,0,5,0,5,0,0,78
3210,Alanopine,10,0,6,1,4,0,0,86
3232,3-Phosphonooxypyruvate,2,0,3,0,7,0,1,94
3341,2-Amino-4-oxopentanoic acid,9,0,5,1,3,0,0,70
3351,3-Hydroxybenzyl alcohol,8,0,7,0,2,0,0,66
3383,"D-Galactono-1,4-lactone",10,0,6,0,6,0,0,94
3384,D-Galactose 1-phosphate,11,0,6,0,9,0,1,136
3394,Erythrulose 1-phosphate,7,0,4,0,7,0,1,104
3406,N-(L-Arginino)succinate,17,0,10,4,6,0,0,154
3410,N-Glycoloyl-neuraminate,18,0,11,1,10,0,0,172
3440,cis-4-Hydroxy-D-proline,9,0,5,1,3,0,0,70
3451,(R)-S-Lactoylglutathione,20,0,13,3,8,1,0,200
3459,2-Hydroxy-3-oxosuccinate,2,0,4,0,6,0,0,76
3483,Adenosine tetraphosphate,13,0,10,5,16,0,4,300
3493,D-4-Hydroxyphenylglycine,9,0,8,1,3,0,0,88
3506,Indoleglycerol phosphate,12,0,11,1,6,0,1,150
3521,Glycolyl-D-mannosamine,15,0,8,1,7,0,0,126
3557,2-Aminoethylphosphonate,8,0,2,1,3,0,1,66
3561,(R)-3-Hydroxybutanoyl-CoA,38,0,25,7,18,1,3,446
3564,1-Pyrroline-2-carboxylate,6,0,5,1,2,0,0,60
3598,"CDP-3,6-dideoxy-D-glucose",23,0,15,3,14,0,2,278
3599,"CDP-3,6-dideoxy-D-mannose",23,0,15,3,14,0,2,278
3618,L-threo-3-Methylaspartate,8,0,5,1,4,0,0,78
3652,"(2R,3S)-2,3-Dimethylmalate",8,0,6,0,5,0,0,86
3656,(S)-5-Amino-3-oxohexanoic acid,11,0,6,1,3,0,0,78
3680,4-Imidazolone-5-propanoate,7,0,6,2,3,0,0,82
3703,L-5-Carboxymethylhydantoin,5,0,5,2,4,0,0,82
3794,"N6-(1,2-Dicarboxyethyl)-AMP",14,0,14,5,11,0,1,240
3912,(S)-1-Pyrroline-5-carboxylate,6,0,5,1,2,0,0,60
3926,3-Dehydro-2-deoxy-D-gluconate,9,0,6,0,6,0,0,94
3943,"(2R,4S)-2,4-Diaminopentanoate",13,0,5,2,2,0,0,72
3981,2-Hydroxyethylenedicarboxylate,2,0,4,0,5,0,0,68
4056,"9-cis,11-trans-Octadecadienoate",31,0,18,0,2,0,0,156
4092,delta1-Piperideine-2-carboxylate,8,0,6,1,2,0,0,68
4105,"2,5-Dihydro-5-oxofuran-2-acetate",5,0,6,0,4,0,0,74
4114,4-(Trimethylammonio)but-2-enoate,13,0,7,1,2,0,0,78
4137,D-Octopine,18,0,9,4,4,0,0,132
4188,S-Methyl-5-thio-D-ribose 1-phosphate,11,0,6,0,7,1,1,136
4256,N-Acetyl-D-glucosamine 1-phosphate,14,0,8,1,9,0,1,158
4257,N-Acetyl-D-mannosamine 6-phosphate,14,0,8,1,9,0,1,158
4268,"dTDP-4-amino-4,6-dideoxy-D-glucose",26,0,16,3,14,0,2,286
4327,4-Methyl-5-(2-phosphoethyl)-thiazole,8,0,6,1,4,1,1,116
