"cid","nH","z","dG0","estimated"
"603","5","-1","-723.523115271017","1"
"603","6","0","-750.441292285023","1"
"604","8","0","490.559797718352","1"
"618","10","0","-1106.34095982","1"
"618","9","-1","-1079.42278280599","1"
"620","10","-1","-1625.88","0"
"620","9","-2","-1587.7","0"
"621","44","-2","-1461.230682464","1"
"621","43","-3","-1424.85522271235","1"
"623","8","-1","-1373.14523323796","1"
"623","7","-2","-1336.7697734863","1"
"627","10","-2","-1287.20588833795","1"
"627","11","-1","-1323.58134808961","1"
"628","5","-1","-598.268238657475","1"
"628","6","0","-625.18641567148","1"
"630","42","0","-173.712680902486","1"
"631","4","-3","-1496.38","0"
"631","5","-2","-1539.99","0"
"632","8","1","-479.374003418758","1"
"632","7","0","-452.455826404752","1"
"632","6","-1","-433.912224633438","1"
"633","6","0","-168.733753906761","1"
"636","12","-1","-1791.32","0"
"636","11","-2","-1754.56","0"
"637","9","0","98.5275950430658","1"
"639","34","0","-953.450018109423","1"
"639","33","-1","-926.531841095418","1"
"642","7","-1","-386.536358056375","1"
"642","8","0","-413.45453507038","1"
"643","13","1","-362.67107575248","1"
"643","11","-1","-317.209296967161","1"
"643","12","0","-335.752898738475","1"
"644","13","-2","-1793.58","0"
"644","14","-1","-1830.68","0"
"647","13","0","-1177.76893583688","1"
"647","12","-1","-1141.39347608523","1"
"647","11","-2","-1122.84987431392","1"
"651","8","-1","-590.507829191474","1"
"651","9","0","-617.426006205479","1"
"651","7","-2","-571.96422742016","1"
"651","10","1","-644.344183219484","1"
"652","8","0","-739.906585187617","1"
"655","10","-3","-1014.51","0"
"655","12","-1","-1099.34","0"
"655","11","-2","-1060.92","0"
"659","10","0","-647.61837363863","1"
"659","9","-1","-620.700196624625","1"
"660","10","-4","-2596.72352950632","1"
"660","12","-2","-2669.47444900962","1"
"660","11","-3","-2633.09898925797","1"
"661","5","-2","-1287.49990168611","1"
"661","6","-1","-1323.87536143776","1"
"663","12","-1","-1791.85295337167","1"
"663","11","-2","-1755.47749362002","1"
