#
#  metacyc 14.6 Genes link table generated on Mon Dec 6, 2010
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
3418	P48735	IDH2	
G-5562	P43636	ALG2	
G-5563	P53954	ALG11	
G-5581	P38179	ALG3	
G-5582	P53868	ALG9	
G-5583	P53730	ALG12	
G-5584	Q12001	ALG6	
G-5585	P40351	ALG8	
G-5586	P50076	ALG10	
G-5587	P14020	DPM1	
G-5588	P40350	ALG5	
G-5662		CYP81E1	
G-5681		CYP93A1	
G-5682		D7OMT	
G-5683		IOMT8	
G-5701		HI4'OMT	
G-5702		HI4'OMT	
G-5703		HIDM	
G-5704		HIDH	
G-5705		IFR	
G-5706		pIFRalf1	
G-5707		pVR1	
G-5741		CYP Ge-8	
G-5782	P50442	Gatm	
G-5802	P10868	Gamt	
G-5881		P5CS	
G-5882		OAT	
G-5883		BnSDC	
G-5925		SGT1	
G-5961		BnSCT	
G-5981	Q68BJ4	CPS1	
G-60	Q8GSN6	GA2ox1	
G-6022	P98183	CYP71D12	
G-6023	Q02016	RCAPI	
G-6024		KSB	
G-6025	Q44238	opaA	
G-6026	Q56837	xecA	
G-6041	Q56839	xecC	
G-6061	Q65399	polyprotein gene	
G-6062	Q6ZIX2	OJ1119_B04.1	
G-6063	O82426	AF042332	
G-6064	Q7TY88	pimA	
G-6066	Q81FV3	BC1465	
G-6081	Q8GAV9	cpnA	
G-6082	Q8JR20	pol	
G-6083	Q9SE93	PNAE	
G-6102	O19074	none	
G-6181	P41929	LYC1	
G-6206	P38169	BNA4	
G-6221		PEAMT	
G-6241	P32528	DUR1,2	
G-6242		PNC1	
G-6303		PCT2	
G-6304		AAPT1	
G-6305		L33686	
G-632	P11569	hgdA	
G-633	P11570	hgdB	
G-634	Q06700	gcdA	
G-635	Q9ZAA6	gcdB	
G-636	Q9ZAA7	gcdC	
G-6362		TYDC1	
G-637	Q9ZAA8	gcdD	
G-6401		AY376412	
G-6404		PSOMT2	
G-6405		AB061863	
G-6406		CYP80B1v1	
G-641		psbD	
G-642		psbW	
G-6421		D29812	
G-643		psbX	
G-644		psbY	
G-645		psbR	
G-646		psbO	
G-6461	Q75T27	proD	
G-647		psbB	
G-648		psbC	
G-649		psbE	
G-650		psbH	
G-651		psbI	
G-652		psbP	
G-653		psbQ	
G-654		psbS	
G-6542	P13444	Mat1a	
G-6561	Q9Z330	Dnmt1	
G-6562	P10760	Ahcy	
G-6563	P32232	Cbs	
G-6564	P18757	Cth	
G-6601	P14882	Pcca	
G-6602	P07633	Pccb	
G-661		PSI-O	
G-662		PSI-G	
G-663		PSI-K	
G-664		PSI-F	
G-665		PSI-H	
G-666		PSI-L	
G-667		PSI-N	
G-668		psaE	
G-6682	P95676	aldB	
G-669		psaC	
G-670		psaD	
G-671		psaA	
G-672		psaB	
G-6721		AF030516	
G-6724		SFS1	
G-6741		ADCL	
G-6762		AY422466	
G-6781		AY069920	
G-6802	Q9SGA7	at3g02090	
G-681	P80077	glmE	
G-6819		Y08611	
G-682		glmS	
G-6841	P21816	Cdo1	
G-6862	P13708	SS	
G-6901	Q9SEE5	AGK1	
G-6941	P55180	galE	
G-6981	O65876	GapCp1	
G-7	Q9HUX1	speA	
G-7001		Mtr	
G-7021	O09171	Bhmt	
G-7041	Q38707	MTD	
G-7061	P92923	M6PR	
G-7081	P51820	DHFR-TS	
G-7084	P94891	metX	
G-7085	P94890	metY	
G-7102		LeFCL	
G-7121		StMS1	
G-7141	Q8NRB3	metE	
G-7142	Q6M580	metH	
G-7143	O24035	PANC	
G-7144	O68640	metX	
G-7145		metY	
G-7146	Q93WC0	BPAO2	
G-7147	Q93WM8	BPAO1	
G-7161	O64411	MPAO	
G-7202	Q50LE0	CYP85A3	
G-7281	Q84N56	BANMT1	
G-7301	O04277	GA20ox	
G-7362	Q39541	GA20ox	
G-7387	O24417	GA3ox1	
G-741		SQD1	
G-742		SQD2	
G-7561	P22352	GPX3	
G-7562	P18283	GPX2	
G-7641		LAP3	
G-7822		Bx6	
G-7841		Igl	
G-7842		Bx1	
G-7861		Bx2	
G-7862		Bx3	
G-7863		Bx4	
G-7864		Bx5	
G-7924		AlBSMT1	
G-7925		BEBT	
G-7941	O08651	Phgdh	
G-7961		IEMT1	
G-7962		CVOMT1	
G-7963		EOMT1	
G-7964		Psat1	
G-797	Q9AVA5	GA2ox1	
G-7981	Q5M819	Psph	
G-7982		BEAT	
G-8062	P22185	AOX1	
G-8083	Q94FS9	POP2	
G-8085		AtGHBDH	
G-809	Q59760	badA	
G-8104	Q6PMT1	MTK1	
G-814	O07454	aliA	
G-815	O07453	badK	
G-816	O07455	aliB	
G-82		mtaC	
G-8201	Q8W2B7	Bx8	
G-8202	Q8W2B6	Bx9	
G-821		EU4	
G-8221	P49235	Glu1	
G-824	Q9R4A1	mtn	
G-8241		CaUGT2	
G-825	O32028	mtnN	
G-83		mtaC	
G-830	Q9F0P1	mtrk	
G-8321		Fab D	
G-8322		KAS III	
G-8361	Q9FPK7	MIPS	
G-8381	Q5GA22	lpa3	
G-839	Q8S0S6	GA2ox3	
G-84		nifF	
G-8402		arrB	
G-842	O85746	tyrB	
G-8441		Ipk	
G-85		nifF	
G-8562		ALS	
G-86		fldA	
G-8601	Q8VSV8	tomA3	
G-8602	Q9ANX4	tomA1	
G-8603	Q9ANX1	tomA4	
G-8606	Q9ANX0	tomA5	
G-8607	Q9ANX3	tomA2	
G-8608	Q6IVK8	ADH2	
G-861		mtap	
G-862	Q13126	MTAP	
G-8621	Q6IVK5	UDPGlcADCX1	
G-8622		tomB	
G-864	Q9ZFE7	masB	
G-865	Q48389	masA	
G-8664	Q5W915	USP	
G-8703	Q51939	tbuA1	
G-8704	Q51943	tbuA2	
G-8705	Q51940	tbuU	
G-8706	Q6QHB9	tbuC	
G-8707	Q51942	tbuV	
G-8708	Q6QHC2	tbuB	
G-8725		x	
G-8728	Q59220	tbuE	
G-8733		SfCPA-FAS	
G-8744	Q6TGC4	PADI6	
G-8745	P29475	NOS1	
G-8746	P35228	NOS2	
G-8749	P29474	NOS3	
G-8763	P05089	ARG1	
G-8764	P78540	ARG2	
G-8783	P00966	ASS	
G-88	Q9Z4P6	prdA	
G-8803	P04424	ASL	
G-8804	P00480	OTC	
G-881	Q93PD2	ebdA	
G-882	Q93PD1	ebdB	
G-8823		todC1	
G-8824		todC2	
G-8825	P13452	todA	
G-8826	P13370	todB	
G-8827	P13859	todD	
G-8829	P13453	todE	
G-883	Q93PD0	ebdC	
G-8843	P31327	CPS1	
G-8863	P51018	todH	
G-8865		AF352395	
G-8866	Q51949	todI	
G-8867	Q9R9Z9	todG	
G-8870	P23133	todF	
G-8872		SPIol;Bsas3;1	
G-8874	P30038	ALDH4A1	
G-8875	P04181	OAT	
G-8883	P54886	ALDH18A1	
G-8884	O94925	GLS	
G-8886	O43272	PRODH	
G-89		prdA	
G-8903	P32322	PYCR1	
G-8923	P00367	GLUD1	
G-8924	P49448	GLUD2	
G-8963		gdhA	
G-8964	P28997	gdhA	
G-8966	Q9R9T1	pobA	
G-8983	P80357	aruF	
G-8984	P80358	aruG	
G-8985	O30508	aruC	
G-8986		mdlA	
G-8987		mdlB	
G-8990	P00438	pobA	
G-8991	O34426	speD	
G-8992	Q4KKA1	gabT	
G-8993	P80404	ABAT	
G-8994	Q99259	GAD1	
G-8995	P51649	ALDH5A1	
G-8996	Q05329	GAD2	
G-8997	P11926	ODC1	
G-8998	P32263	PRO3	
G-8999	P07991	CAR2	
G-9	D0S1M8	ddc	
G-90		prdA	
G-9000	P00812	CAR1	
G-9001	Q59160	ooxA	
G-9002	Q59159	ooxB	
G-9003	Q59158	noxA	
G-9004	Q59157	noxB	
G-9005	P14012	arcA	
G-9007	P09773	arcB	
G-9009	P42885	ureC	
G-9010	P42886	ureB	
G-9011	P42887	ureA	
G-9012	Q88EE2	gbuA	
G-9013	Q9I3S3	gbuA	
G-9015	Q88CA3	PP5278	
G-9016	Q8KZT5	gbh	
G-9017		SMS	
G-9018	P17707	AMD1	
G-9019	P19623	SRM	
G-9020	P52788	SMS	
G-9021	P18417	STR1	
G-9022	P17770	TDC	
G-9023		merR	
G-9024	P20960	AFAAANL	
G-9025		hemA	
G-9026	P11295	iucD	
G-9027	Q47317	iucB	
G-9028	Q47318	iucC	
G-9030		hemB	
G-9031	Q47316	iucA	
G-9032		hemC	
G-9033		hemE	
G-9034		hemF	
G-9035		hemH	
G-9036	P04642	Ldha	
G-9037	P21310	hutH	
G-9038	P10944	hutH	
G-9040	Q4KJP1	hutF	
G-9041	O31201	hutG	
G-9042	P25080	hutU	
G-9043	O31200	hutI	
G-9044		AF072736	
G-9047	Q9XG83	GA2ox1	
G-9048		CTAS	
G-9049	Q8RVF5	SD1	
G-9050	Q4A3R2	GA3ox1	
G-9051	Q8GSN5	GA2ox2	
G-9052	Q5D0G3	GA2ox3	
G-9053	Q8GSN7	GA3ox1	
G-9055	Q9SQ80	GA2ox1	
G-9056	Q9XHM5	GA2ox2	
G-9057	O04705	GA20ox1D	
G-9058	O04707	GA20ox1A	
G-9059	O04706	GA20ox1B	
G-9060	Q3I411	GA3ox2-1	
G-9061	Q3I410	GA3ox2-2	
G-9062	Q3I409	GA3ox2-3	
G-9064	P42357	HAL	
G-9065		FTCD	
G-9066	P11586	MTHFD1	
G-9069		RpALN	
G-9074	P28810	mmsA	
G-9075	Q76KL5	mmsB	
G-9077	Q94ID7	hbgg	
G-9078	O94142	P450-4	
G-9079		CmXRS1	
G-9080		CaXMT1	
G-9081		CaMXMT1	
G-9082		CaMXMT2	
G-9083		CCS1	
G-9084		CaDXMT1	
G-9085		TCS1	
G-9086	O23762	GA20ox2	
G-9087	Q8GT57	GA3ox3	
G-9088	P37940	bfmBAA	
G-9089	P37941	bfmBAB	
G-9090	Q96UG5	DES	
G-9091	P37942	bfmBB	
G-9092	P21880	pdhD	
G-9093	O74293	P450-2	
G-9094	O74294	P450-3	
G-9095	O74292	P450-1	
G-9096	O86428	ilvE	
G-9097	P70584	Acadsb	
G-9098	Q9XCG5	acdH	
G-9099	Q51969	ech	
G-91	Q04944	bdhA	
G-9100	P28475	A6PR	
G-9101	Q58DM8	ECHS1	
G-9102	Q5XIE6	Hibch	
G-9103	Q59268	mgm	
G-9104	Q9ZR22	NAD-SDH	
G-9105	Q0QLE6	mii	
G-9106	P38891	BAT1	
G-9107	P26263	PDC6	
G-9108	P06169	PDC1	
G-9109	P16467	PDC5	
G-9110	P00330	ADH1	
G-9111	P10127	ADH4	
G-9112	P00331	ADH2	
G-9113	P07246	ADH3	
G-9115		pSP-54	
G-9116		PSS1	
G-9117	P48407	STS1	
G-9118	P48408	STS2	
G-9119		PDSTS1	
G-9120		PDSTS2	
G-9121		PDSTS3	
G-9122		PnI	
G-9123		PnL	
G-9124	Q16851	UGP2	
G-9125	P13807	GYS1	
G-9126		SAMS1	
G-9127	P46976	GYG1	
G-9131		metE	
G-9132	Q9M3W5	Chl G	
G-9133	Q8GZ86	DVR	
G-9134	O15488	GYG2	
G-9135	Q04446	GBE1	
G-9139	O24164	PPXII	
G-9140	O24163	PPXI	
G-9141		HPPR	
G-9142		CYP98A6	
G-9144	P35055	CPO	
G-9148	O24133	CHLD	
G-9149	O22434	CHLH	
G-9150	O22436	CHLI	
G-9152	Q42967	UROD	
G-9162	Q84ZW1	KAO1	
G-9163	Q84ZW0	KAO2	
G-9164	Q6XAF4	KO1	
G-9165	Q99714	HADH2	
G-9166	Q88KS5	fadB2x	
G-9167	O81971	CYP71D9	
G-9168	Q9V2Z6	glkA	
G-9169		ech	
G-9170	P83194	pgiA	
G-9171	Q9V2Z7	pfkA	
G-9173	P58314	fba	
G-9174	P62003	tpiA	
G-9179		gor	
G-9181	Q8U477	eno	
G-9182		PF1188	
G-9183	Q13825	AUH	
G-9184		aat	
G-9185	Q9Y8L1	acdA	
G-9186	Q9Y8L0	acdB	
G-9187		porA	
G-9188		porB	
G-9189		porD	
G-9190		porG	
G-9191	P13703	mvaB	
G-9192	P13702	mvaA	
G-9193		PDCHSX	
G-9194	P30079	PSCHS	
G-9195	Q07471	THI3	
G-9196		SbCHS2	
G-9197	Q06408	ARO10	
G-9198	Q07353	AN3	
G-9199	P38113	ADH5	
G-92	Q04945	bdhB	
G-9200	P32771	SFA1	
G-9201	P53090	ARO8	
G-9202	P38840	ARO9	
G-9204	Q9AJM0	korA	
G-9205	Q9AJL9	korB	
G-9206	Q76LM6	icd	
G-9207	Q8L0X8	idh	
G-9208	Q9AJC4	aclA	
G-9209	Q9AQH6	aclB	
G-9210	Q9LBF9	porA	
G-9211	Q9LBF8	porB	
G-9212	Q9LBF7	porG	
G-9213	Q9LBG0	porD	
G-9214		porE	
G-9215		AY230247	
G-9216		CYP93B2	
G-9217		SHT12	
G-9230	Q8F3Q1	cimA	
G-9232	Q8F4E6	leuC	
G-9233	Q8F4E5	leuD	
G-9234	P24015	leuB	
G-9235	Q58787	cimA	
G-9236	O08353	ilvB	
G-9238	O08354	ilvN	
G-9239		ilvC	
G-9240		ilvD	
G-9241		ilvE	
G-9243		mamA	
G-9244	P72578	ST2300	
G-9246		porA	
G-9247		porB	
G-9248		porC	
G-9249		porD	
G-9250	O27498	ilvDD	
G-9251	O27491	ilvC	
G-9253		C12RT1	
G-9254	Q9M4G3	CKS	
G-9255	Q06319	bcd	
G-9258	Q5W7P1	GME	
G-9259	Q10530	gltA2	
G-9260	O53166	acn	
G-9261	P65097	icd1	
G-9262		sdhA	
G-9263	O53446	fumC	
G-9264	P0A5J6	mdh	
G-9265		kgd	
G-9266	Q7DA77	gabD1	
G-9267	P0A5H3	icl	
G-9268	P0A5J4	glcB	
G-9269	Q5YJK5	FPS	
G-9274	P93941	YchB	
G-9282		KS10	
G-9291		GCS	
G-9293		AF406816	
G-9295	Q9SBR3	GPPS-lsu	
G-9296	Q9SBR4	GPPS-ssu	
G-9298	O80400	VPS	
G-9299	P12694	BCKDHA	
G-93	P52042	bcd	
G-9300	P21953	BCKDHB	
G-9301	P11182	DBT	
G-9303	Q9FEY5	CHS	
G-9304	Q93V86	CHS2	
G-9305		CHS4	
G-9306		HGT8	
G-9307		PF3R4	
G-9308		pGAT4	
G-9309		Dv3MaT	
G-9310	P17735	TAT	
G-9311	P48419	Hf2	
G-9312	P48418	Hf1	
G-9313		TG1	
G-9314	Q9ZRY0	AJ011862	
G-9315	P43336	phhC	
G-9316	P32754	HPD	
G-9317	Q8GTB6	THCA	
G-9318	Q93099	HGD	
G-9319	Q8RVK9	PKS	
G-9320	Q00667	hmgA	
G-9323		hmgA	
G-9326	O43708	MAAI	
G-9327	O43123	maiA	
G-9329	Q00770	fahA	
G-9330	P16930	FAH	
G-9338		MFP-a	
G-9341	P00439	PAH	
G-9342	P30967	phhA	
G-9343	P61457	PCBD1	
G-9344	P09417	QDPR	
G-9345		Ht1	
G-9346	Q8P8J2	argF'	
G-9347	Q4UVI8	argE	
G-9353		ans	
G-9354		pGUT8	
G-9355		D85186	
G-9360		CESdD1	
G-9369	Q4W5X1	griF	
G-9371	Q46266	pfl	
G-9372		PfAT208	
G-9374		RhGT1	
G-9381	Q9EYU0	triA	
G-9382	Q9AQF8	trzC	
G-9383	P0A3V5	trzD	
G-9384	Q9L9C1	paaK	
G-9390	Q8GSM7	HCT	
G-9395	Q42435	CCS	
G-9398		LAT2	
G-9399	Q9AXK7	LCYe	
G-94		etfB	
G-9401	Q43503	CrtL-b	
G-9402	O65837	CrtL-e	
G-9406	Q9LWA6	NSY	
G-9408	Q8S4R4	CRTISO	
G-941	Q9R5U4	bzda	
G-9411	P29564	corA	
G-9415	Q58813	MJ1418	
G-9416	Q58806	MJ1411	
G-9417	Q57888	cofG	
G-9418	Q58826	cofH	
G-9419	Q7U0G9	fbiC	
G-9420	Q58653	cofD	
G-9421	Q9LW98	kcs12	
G-9422		AF138959	
G-9424		CYP71AV1	
G-9425	Q58178	cofE	
G-9428	Q58407	cofF	
G-9432		bAS1	
G-9433	O82140	OSCPNY1	
G-9434	Q8GSL7	bas1	
G-9435		CYP93E1	
G-9436	O30640	mtbA	
G-9437		mttB	
G-9438	O93659	mttC	
G-9439	O30641	mtmC	
G-9440	O30642	mtmB	
G-9441	O93657	mtbC	
G-9442	O93661	mtbB1	
G-9443		dalD	
G-9444		dalK	
G-9445		atlA	
G-9446		atlB	
G-9447		mtlD	
G-9448		mtlY	
G-9449	Q8PUM1	vhoA	
G-9450	Q50250	vhoC	
G-9451	Q8PUM0	vhoG	
G-9452	Q9P9G0	fpoD	
G-9453	Q9P9G2	fpoB	
G-9454	Q9P9G1	fpoC	
G-9455	Q9P9F8	fpoI	
G-9456	Q9P9F1	fpoF	
G-9457	Q60358	mfnA	
G-9458	P57084	nadM	
G-9459	Q55929	slr0788	
G-9460		rtlA	
G-9461		rtlB	
G-9462	P00335	rbtD	
G-9463		rbtK	
G-9464	Q48924	mtsA	
G-9465	Q48925	mtsB	
G-9466		mtqA	
G-9467		mtqB	
G-9470	Q9UDR5	AASS	
G-9471	Q64602	Aadat	
G-9472	Q8N5Z0	AADAT	
G-9473	O86491	murE	
G-9474	P61431	murB	
G-9475	Q5HEB8	murF	
G-9476	P0A091	murD	
G-9477	P68784	mraY	
G-9478	Q5HG02	murG	
G-9481		ESP	
G-9484	Q9XBQ8	kamA	
G-9488		kamD	
G-9489		kamE	
G-9491		Ss5MaT1	
G-9493		Ss5MaT2	
G-9495	Q94FT4	SALAT	
G-9496	Q9SQ67	COR1.1	
G-9497	Q8W3P8	AOG	
G-95		etfA	
G-9507	Q52722	sqr	
G-9508	Q9KI51	sqr	
G-9509	Q06529	fccA	
G-9510	Q06530	fccB	
G-9511	O33998	dsrA	
G-9512	O33999	dsrB	
G-9513	Q285R5	ABA8'OH-1	
G-9514		davB	
G-9515		davA	
G-9516		davT	
G-9517	Q9LA16	sorA	
G-9518	Q9LA15	sorB	
G-9519		Dusky	
G-9520		Ip3GGT	
G-9522		davD	
G-9523	Q5IT33	Keto1	
G-9524		dpkA	
G-9525		G10H	
G-9526		CYP72A1	
G-9527		amaB	
G-9528	Q8N6Z6	PIPOX	
G-9529		D4H	
G-9531		amaA	
G-9532		DAT	
G-9533	Q4W5U9	sqr	
G-9534	Q9F2A0	dsrN	
G-9535		lat	
G-9536		pcd	
G-9538	Q3HR17	crtS	
G-9539	O54199	pcd	
G-9540	Q01767	lat	
G-9541	P29082	sor	
G-9542		crtW148	
G-9543		VS	
G-9544		AAE	
G-9545		RG	
G-9546		crtW38	
G-9548	Q70YP8	LCO	
G-9549	Q9LCU8	soxZ	
G-9550	Q9LCU9	soxY	
G-9551	Q9LCV0	soxX	
G-9552	P97224	doxA	
G-9553	P97207	doxD	
G-9554	O50657	ldc	
G-9555	Q70T30	BADH	
G-9556	Q70T29	nBMT	
G-9557	Q84K96	ZCO	
G-9558		3'GT	
G-9559		PMT	
G-9560		PMT	
G-9561		PMT1	
G-9562	P32288	GLN1	
G-9563	Q9AJC6	lysDH	
G-9566		H6H	
G-9567		CYP82E4v1	
G-9568	Q54506	sat	
G-9569		AprA	
G-9570	Q0PQX5	AprB	
G-9571	Q9LA72	apt	
G-9572	P16550	APA1	
G-9573	Q5VLA6	aprA	
G-9574	Q5VLA7	aprB	
G-9575	P51687	SUOX	
G-9576	P13221	Got1	
G-9581	P97532	Mpst	
G-9583		DicGT4	
G-9584		DicGT5	
G-9585	Q93XK2	STS1	
G-9586	Q9SBZ0	STS1	
G-9587	Q9L4Q3	prdF	
G-9588	Q6TW99	GGT1	
G-9589	O60507	TPST1	
G-9592	Q8VPJ6	oraS	
G-9593	Q8VPJ5	oraE	
G-9594	Q9SCA0	lapr	
G-9595	Q8VWN6	RFS	
G-9596	O28606	sat	
G-9597	Q59116	aprA	
G-9598	Q59115	aprB	
G-9599	Q59109	dsrA	
G-96	P45359	thl	
G-9600	Q59110	dsrB	
G-9601		dsrC	
G-9603		ALG13	
G-9604		ALG14	
G-9605	Q9AIK2	GI:13661832	
G-9606	P45574	dsvA	
G-9607	P45575	dsvB	
G-9608	P45573	dsvC	
G-9609	Q08742	FMP31	
G-9611	Q9ZNW2	des6	
G-9612	Q01284	ncd-2	
G-9613		PSE1	
G-9614		PPDES5	
G-9615	Q12723	2-NPD	
G-9618		DVU_0173	
G-9620	P38681	nit-6	
G-9628	P37600	phsA	
G-9629	P0A1I1	phsB	
G-9630	P37602	phsC	
G-9631	P26474	asrA	
G-9632	P26475	asrB	
G-9633	P0A1Y2	asrC	
G-9634	Q8X1D8	NAO	
G-9635	P52197	rhdA	
G-9636	Q7BK17	ttrA	
G-9637	Q7BK19	ttrB	
G-9638	Q7BK18	ttrC	
G-9640		GbCLH	
G-9641		GAPN	
G-9642		FAE1	
G-9643		DES	
G-9647		PcFSI	
G-9652		AmBMT	
G-9653	Q8NKK1	sreA	
G-9654	Q8NKT6	sreB	
G-9655	Q8NKT5	sreC	
G-9656	P31075	psrA	
G-9657	P31076	psrB	
G-9658	P31077	psrC	
G-9659		pTAD4	
G-9660		U60277	
G-9661		KAS I	
G-9662		FAD2-1	
G-9663		FAD2-2	
G-9671		scrB	
G-9672		FADX-1	
G-9673	Q05936	scrB	
G-9674		FADX-2	
G-9675		Fac2	
G-9676	P51184	scrA	
G-9677		TkFac	
G-9678		PgFac	
G-9679		PuFADX	
G-9680	Q9ZHJ7	scrB	
G-9681	Q9ZHJ6	scrK	
G-9685		ImpFADX	
G-9686		MomoFADX	
G-9687		AfFADX	
G-9688	P27217	scrB	
G-9689	Q9SMB7	pTQPT1	
G-9690	Q9SMC1	pRQPT1	
G-9691	P27219	scrA	
G-9692		GolS	
G-9695	P26420	scrK	
G-97	Q8RMI3	hbd	
G-9704		frk	
G-9705		HDH	
G-9706	Q84HQ2	sucP	
G-9707	Q84BY1	scrP	
G-9708	P31898	hoxZ	
G-9709	P80489	frhA	
G-9710	P80490	frhB	
G-9711	P80491	frhG	
G-9712		hndA	
G-9713		hndB	
G-9714		hndC	
G-9715		hndD	
G-9716	Q8G5P5	xfp	
G-9717	Q9AEM9	xfp	
G-9718	O59652	echA	
G-9719	O59653	echB	
G-9720	O59654	echC	
G-9721	O59655	echD	
G-9722	O59656	echE	
G-9723	O59657	echF	
G-9727		GolS-1	
G-9728	Q338A9	ARD1	
G-9730	Q7XZ05	GolS-1	
G-9731	Q7XZ07	GolS-2	
G-9732		CrOMT2	
G-9736	Q75VX1	ccl	
G-9737	Q75VW6	ccsB	
G-9738	Q75VW8	ccsA	
G-9739	Q6LWM2	korD	
G-9740	Q6LXN4	korG	
G-9741	Q6LXN3	korB	
G-9742	Q6M1B3	korA	
G-9743		4'CGT	
G-9744		cfiA	
G-9745		cfiB	
G-9747		BAS	
G-9750	Q6X1C0	GLT2	
G-9757	O24379	LOX1	
G-9758	Q9SC16	lox1-St-2	
G-9759		StDES	
G-9760		AOS	
G-9764	Q76I22	r9-LOX1	
G-9765		OsHPL1	
G-9766		OsHPL2	
G-9767	Q9RE15	hpaB	
G-9768	Q50EK6	CYP720B1	
G-9769	Q50EK2	TPS-LAS	
G-9770	Q675L4	TPS-LAS	
G-9771	Q675L5	TPS-Iso	
G-9772	Q01468	xylH	
G-9773	P49155	xylI	
G-9774	Q7XA48	DODA	
G-9775	Q675L1	TPS-Lim	
G-9776	P23106	xylF	
G-9777		TYDC2	
G-9778	Q675L2	TPS-Lin	
G-9781	Q675K9	TPS-Myr	
G-9782	Q9L3F7	pct	
G-9784	Q675L3	TPS-Pin	
G-9785	Q675L0	TPS-Lon	
G-9786	Q675K8	TPS-Far	
G-9787	Q675L6	TPS-Bis	
G-9788	Q84SM8	TPS-Car	
G-9789		cDOPA5GT	
G-9790		cDOPA5GT	
G-9791	P51016	dmpG	
G-9793	Q52060	dmpF	
G-9794	Q8H2B4	LinS	
G-9796	Q9SMG6	5-GT	
G-9797		6-GT	
G-9798	P24298	GPT	
G-9799	Q8TD30	GPT2	
G-98	P52046	crt	
G-9806	P19729	dmpK	
G-9807	P19730	dmpL	
G-9808	P19731	dmpM	
G-9809	P19732	dmpN	
G-9810	P19733	dmpO	
G-9811	P19734	dmpP	
G-9812	Q52126	ndoR	
G-9813	P0A185	ndoA	
G-9814	P0A110	ndoB	
G-9815	P0A112	ndoC	
G-9816	Q9R9Y8	nahB	
G-9817	Q7B7H7	nahC	
G-9818	Q51948	nahD	
G-9819	P0A144	nahE	
G-9820	P0A391	nahF	
G-9821	P23262	nahG	
G-9822	Q08352	ald	
G-9823		pcaF	
G-9824	Q9WX54	aladh	
G-9825	O52942	ald	
G-9826		f-<i>E</i>&alpha;bis	
G-9827	O24474	g-myr	
G-9828	O24475	g-pin1	
G-9829	O22340	g-lim1	
G-9831	Q38710	gg-agi	
G-9834	Q84ZW8	TPS1	
G-9836	P37303	GLY1	
G-9837	Q2NM15	TPS10	
G-9838	Q8GUE4	GES	
G-9839	O07051	ltaA	
G-9848	Q51366	gmd	
G-9851		rmd	
G-9852		gmd	
G-9853		rmd	
G-9854	P97084	cobD	
G-9856	Q9LEJ0	ENO1	
G-9858		TaPSS1	
G-9860		GmCK1	
G-9861		GmCK2	
G-9862		nthA	
G-9863		nthB	
G-9864		amiE	
G-9865	Q8LK04	GAPC	
G-9868	Q6Q8A5	Hxk2	
G-9872	Q92QY5	gal	
G-9873	Q07944	bedC1	
G-9874	Q07945	bedC2	
G-9875	Q07946	bedA	
G-9876	Q07947	bedB	
G-9877		bedD	
G-9879	P11886	gal	
G-9880	Q86WU2	LDHD	
G-9881	P16635	gloA	
G-9882	P15121	AKR1B1	
G-9886	Q12068	GRE2	
G-9887	P00175	CYB2	
G-9888	Q05421	Cyp2e1	
G-9891	P15505	GLDC	
G-9892	P28337	AMT	
G-9893		GCSH	
G-9894	Q5ZM32	DLD	
G-9895		PSD_Fi1	
G-9896		HvCOMT	
G-9897		PLR-Fi1	
G-9898		PLR_Tp1	
G-9899		SDH_Fi321	
G-99	P58255	ptb	
G-9900		SDH_Pp7	
G-9901		CoOMT	
G-9902		7OMT	
G-9903		CYP80A1	
G-9904		CYP81Q1	
G-9905		CYP81Q2	
G-9906	P00747	PLG	
G-9907	P00796	Ren2	
G-9909		CASHT	
G-9910		THT	
G-9911	P08594	pstI	
G-9912	P14909	aspB-2	
G-9913	Q3IED5	aspC	
G-9914	P23542	AAT2	
G-9915	Q841S6	mpd	
G-9916	Q6F4M7	npcC	
G-9917	Q8RQQ0	nphA1	
G-9918	Q8RQP9	nphA2	
G-9920	O84992	macA	
G-9921	Q8GMW5	pdeA	
G-9922		pnpB	
G-9923		pnpD	
G-9924		pnpC	
G-9925		pnpE	
G-9926		pnpA	
G-9927	P00503	GOT1	
G-9928	P17174	GOT1	
G-9929	P11708	MDH1	
G-9931	Q83XM3	fruI	
G-9932	Q8KMQ5	fruK	
G-9933	Q07637	pyk	
G-9934	Q07636	pfkA	
G-9935	P81181	pgi	
G-9936		fruC	
G-9937		fba	
G-9938	Q6Q4F4	ansB1	
G-9939	O32757	tpiA	
G-9940	P50918	tpiA	
G-9941	Q5RLY5	LEUM_1961	
G-9942		gnd	
G-9944	P11411	zwf	
G-9945	P51011	D-ldh	
G-9946	Q9F1X6	pta	
G-9947	P49088	Asns	
G-9948	P19869	ldh2	
G-9949	Q97GY6	pfoA	
G-9950	Q5VJ90	bmoX	
G-9951	Q5VJ89	bmoY	
G-9952	Q5VJ87	bmoZ	
G-9953	Q5VJ88	bmoB	
G-9954		bmoC	
G-9955	P28492	Gls2	
G-9956	Q8VQN0	GI:18042134	
G-9957	P11652	mutA	
