cid, nH, z, dG0
647, 12, -1, -1141.39347608523
647, 11, -2, -1122.84987431392
651, 8, -1, -590.507829191474
651, 9, 0, -617.426006205479
651, 7, -2, -571.96422742016
651, 10, 1, -644.344183219484
652, 8, 0, -739.906585187617
655, 10, -3, -1014.51
655, 12, -1, -1099.34
655, 11, -2, -1060.92
659, 10, 0, -647.61837363863
659, 9, -1, -620.700196624625
660, 10, -4, -2596.72352950632
660, 12, -2, -2669.47444900962
660, 11, -3, -2633.09898925797
661, 5, -2, -1287.49990168611
661, 6, -1, -1323.87536143776
663, 12, -1, -1791.85295337167
663, 11, -2, -1755.47749362002
664, 23, -1, -660.541381658014
664, 24, 0, -687.45955867202
664, 22, -2, -633.623204644009
665, 10, -4, -2599.07104825641
665, 12, -2, -2671.82196775972
665, 11, -3, -2635.44650800807
666, 13, -1, -666.012050878994
666, 16, 2, -738.392006678318
666, 15, 1, -711.473829664313
666, 14, 0, -684.555652650308
666, 12, -2, -647.46844910768
668, 12, -1, -1800.59
668, 11, -2, -1763.94
671, 10, 0, -479.839462754396
671, 9, -1, -452.921285740391
672, 10, -1, -1474.00574671635
672, 9, -2, -1437.63028696469
673, 10, -1, -1486.11
673, 9, -2, -1447.92
679, 7, -1, -1124.31527088587
679, 8, 0, -1151.23344789988
679, 6, -2, -1097.39709387187
680, 13, -1, -666.012050878994
680, 16, 2, -738.392006678318
680, 15, 1, -711.473829664313
680, 14, 0, -684.555652650308
680, 12, -2, -647.46844910768
682, 5, -1, -435.52991345786
682, 6, 0, -462.448090471865
683, 39, -1, -504.93774050116
683, 40, 0, -531.855917515165
684, 7, -1, -771.338793812246
684, 8, 0, -798.256970826251
689, 21, -2, -2416.21453213622
689, 22, -1, -2452.58999188788
691, 10, 0, -1054.42695909286
696, 31, -1, -638.883994149891
696, 32, 0, -665.802171163896
697, 0, 0, 18.7
700, 12, -3, -2831.78
700, 10, -5, -2739.37
700, 11, -4, -2788.4
705, 13, -2, -2233.42246568226
705, 12, -3, -2197.0470059306
711, 5, -1, -866.474525739501
711, 6, 0, -893.392702753506
711, 4, -2, -839.556348725496
712, 34, 0, -194.939434681774
712, 33, -1, -168.021257667769
713, 32, 0, -2235.70553476613
715, 5, 0, 64.0086855933652
716, 8, 1, -552.129381137356
716, 7, 0, -525.211204123351
716, 6, -1, -506.667602352037
727, 8, 0, -267.043179058801
734, 35, 0, -1742.63749269402
734, 37, 2, -1779.72469623665
734, 38, 3, -1798.26829800796
734, 36, 1, -1761.18109446534
736, 5, -2, -272.456398228679
736, 8, 1, -365.738177014012
736, 7, 0, -338.820000000007
736, 6, -1, -290.999999999993
737, 12, 0, -914.231457733719
738, 12, 0, -914.231457733719
739, 13, -1, -321.41014904806
739, 16, 2, -385.415529604693
739, 14, 0, -339.953750819374
739, 15, 1, -358.497352590688
740, 8, 1, -552.129381137356
740, 7, 0, -525.211204123351
740, 6, -1, -506.667602352037
741, 6, 0, -248.079602396884
744, 75, 0, -1601.70139136998
745, 14, 0, 61.838493987141
747, 5, 0, 196.472464143613
750, 26, 0, -50.980196303352
750, 27, 1, -69.5237980746659
750, 28, 2, -88.0673998459799
751, 50, 0, 631.230692322989
755, 8, 0, -316.211350784196
756, 18, 0, -147.437256933968
761, 22, 0, -927.039554471498
763, 8, -1, -608.48320910414
763, 9, 0, -635.401386118145
764, 12, 0, -944.764053882959
766, 12, 0, 146.673245728614
767, 10, 0, -1352.0351130308
767, 9, -1, -1325.1169360168
767, 8, -2, -1298.19875900279
768, 8, -1, -241.617577687618
768, 9, 0, -260.161179458932
768, 10, 1, -287.079356472937
770, 11, -1, -1122.69888022672
770, 12, 0, -1149.61705724073
771, 32, 0, -2235.70553476613
772, 10, 0, -635.931931486751
774, 14, 0, -593.919434455882
777, 27, -1, -203.409878776062
777, 28, 0, -230.328055790067
779, 10, 0, -517.362534851156
780, 13, 1, -9.69459867885539
780, 12, 0, 8.84900309245858
785, 5, -1, -163.203610225656
785, 6, 0, -190.121787239661
786, 14, 0, -410.333819497726
788, 13, 0, -455.866493639776
791, 7, 0, -23.14
792, 13, -1, -373.909647943005
792, 16, 2, -437.915028499638
792, 14, 0, -392.453249714319
792, 15, 1, -410.996851485633
793, 5, -2, -272.456398228679
793, 8, 1, -365.738177014012
793, 7, 0, -338.820000000007
793, 6, -1, -290.999999999993
794, 14, 0, -948.31
795, 12, 0, -944.764053882959
797, 8, 1, -43.4277232411269
797, 7, 0, -24.8841214698129
798, 35, 0, -331.528806110022
800, 11, -1, -1122.69888022672
800, 12, 0, -1149.61705724073
803, 10, 0, -370.756752003984
803, 9, -1, -343.838574989978
805, 5, -1, -393.503504483022
805, 6, 0, -420.421681497027
806, 13, 1, -157.906341578028
806, 11, -1, -112.444562792709
806, 12, 0, -130.988164564023
810, 8, 0, -291.355699817614
811, 7, -1, -294.324797853927
811, 8, 0, -321.242974867932
813, 4, 0, -163.509278475203
815, 7, -1, -871.561109374484
815, 8, 0, -898.479286388489
815, 6, -2, -844.642932360479
817, 11, -1, -1122.69888022672
817, 12, 0, -1149.61705724073
818, 10, 0, -1352.0351130308
818, 9, -1, -1325.1169360168
818, 8, -2, -1298.19875900279
819, 10, 0, -518.544370440929
